,image,tag,size,conv_size,conv_1,conv_2,conv_4,conv_8,conv_16
1,busybox,latest,0.7,1.2,0.182,0.329,0.255,7.628,5.663
2,alpine,latest,2.7,4,0.35,1.089,0.495,3.631,26.456
3,swarm,latest,3.7,6.6,0.487,0.548,1.304,4.082,7.951
4,nats,latest,4.3,7,0.5,0.573,0.68,11.832,7.865
5,bash,latest,5.2,8.3,0.49,1.091,3.019,4.359,30.055
6,eclipse-mosquitto,latest,5.3,8,0.595,0.618,2.711,2.426,4.997
7,cirros,latest,5.7,8.5,0.585,0.666,1.046,6.441,8.926
8,eggdrop,latest,7.9,13.2,1.126,1.71,3.579,3.52,29.446
9,teamspeak,latest,12.9,18.4,1.226,1.303,4.536,4.468,6.544
10,photon,latest,16.7,25,1.447,2.311,5.389,5.844,23.048
11,ubuntu,latest,27.2,42.9,2.426,3.12,7.083,17.676,8.966
12,traefik,latest,28.9,50.4,2.793,3.513,21.773,7.931,46.101
13,memcached,latest,31.4,50.9,2.769,2.872,4.674,8.382,21.757
14,adminer,latest,33,45.3,2.728,4.141,8.655,24.327,67.621
15,spiped,latest,35.6,59.4,2.828,4.54,4.162,35.755,50.136
16,haproxy,latest,37.5,60,2.809,3.266,8.162,32.563,18.126
17,redis,latest,39.2,64.3,2.969,3.567,5.926,11.78,38.146
18,thrift,latest,41.7,68.4,3.058,3.428,14.09,10.237,46.736
19,consul,latest,41.9,61.4,3.305,4.739,6.777,7.552,25.227
20,kong,latest,46.8,78.2,4.371,4.969,9.241,22.671,38.393
21,mongo-express,latest,47,79.3,4.1,4.8,8.4,20.749,24.512
22,hylang,latest,48.2,78.5,3.447,4.131,4.824,6.97,57.088
23,irssi,latest,48.3,87.1,3.707,5.187,7.013,9.603,40.096
24,rethinkdb,latest,49.4,79.6,3.546,4.139,5.563,15.343,35.643
25,debian,latest,52.4,78.4,4.199,5.792,9.531,20.85,35.533
26,httpd,latest,53.8,85.2,3.976,5.276,7.412,11.652,57.084
27,nginx,latest,54.1,85,3.827,5.094,7.503,24.908,41.126
28,euleros,latest,54.7,87.3,4.779,7.774,9.574,13.579,28.402
29,neurodebian,latest,63.5,93.3,4.343,6.236,14.21,10.336,38.322
30,chronograf,latest,63.8,98.5,4.445,5.993,9.123,17.535,34.614
31,composer,latest,65.3,103,5.22,6.289,12.021,17.008,59.072
32,docker,latest,66.2,110.8,5.879,7.103,10.359,17.692,47.273
33,swipl,latest,67,110.8,4.475,9.599,7.832,33.841,53.801
34,sl,latest,67.2,110.6,6.012,7.034,9.426,14.989,64.337
35,vault,latest,70.5,105.5,5.292,7.037,8.019,22.033,42.617
36,centos,latest,79.7,134.9,7.132,8.394,13.168,19.414,29.332
37,celery,latest,79.8,126.3,5.328,6.723,8.337,23.264,57.856
38,aerospike,latest,80,128.2,6.125,7.173,11.59,22.526,53.557
39,couchdb,latest,83.4,125.1,6.021,7.75,12.655,21.743,55.61
