,Unnamed: 0,filepath,size(byte),traditional(us),dadi-5M(us),dadi-10M(us),dadi-100M(us)
0,0,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/Jg/Dal.pl,541,2.2600000000000002,92439.16666666667,33578.833333333336,206.92857142857142
1,1,/usr/share/ca-certificates/mozilla/SSL.com_Root_Certification_Authority_RSA.crt,2094,6.859999999999999,128736.16666666667,48127.5,284.6714285714286
2,2,/usr/lib/x86_64-linux-gnu/libicudata.so.67,28407344,84546.45000000001,4447852.166666667,1961424.6666666667,243803.55714285714
3,3,/var/lib/dpkg/info/libsepol1:amd64.md5sums,215,1.2200000000000002,74308.16666666667,29142.666666666668,209.0142857142857
4,4,/var/lib/dpkg/info/coreutils.md5sums,15859,47.39,38783.5,15370.833333333334,236.81428571428572
5,5,/usr/share/adduser/adduser.conf,2981,9.08,37370.5,14650.333333333334,107.41428571428571
6,6,/usr/share/ca-certificates/mozilla/SecureSign_RootCA11.crt,1249,3.89,148.83333333333334,74.5,12.785714285714286
7,7,/var/lib/dpkg/info/libss2:amd64.triggers,67,0.36,18.5,10.166666666666666,2.071428571428571
8,8,/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0,617128,1835.6,159599.16666666666,67387.66666666667,5419.042857142857
9,9,/etc/ssl/certs/ff34af3f.0,0,5.1499999999999995,226.16666666666666,115.66666666666667,19.728571428571428
10,10,/lib/x86_64-linux-gnu/security/pam_access.so,18272,54.46,39534.166666666664,15460.5,246.84285714285716
11,11,/usr/share/keyrings/debian-archive-bullseye-stable.gpg,2453,7.52,38386.166666666664,14727.833333333334,124.35714285714286
12,12,/usr/lib/x86_64-linux-gnu/perl-base/unicore/To/Lb.pl,32362,96.53,40269.833333333336,16140.5,361.87142857142857
13,13,/usr/lib/x86_64-linux-gnu/perl-base/unicore/lib/IdType/LimitedU.pl,1462,4.569999999999999,175.5,86.83333333333333,14.928571428571429
14,14,/usr/lib/x86_64-linux-gnu/libp11-kit.so.0,1257280,3740.12,193138.16666666666,88703.33333333333,10868.92857142857
15,15,/var/lib/dpkg/info/libpam-modules:amd64.templates,23310,69.58999999999999,39612.166666666664,15791.333333333334,316.5285714285714
16,16,/var/lib/dpkg/info/libgcrypt20:amd64.list,455,1.54,63.166666666666664,34.0,5.642857142857143
17,17,/etc/ssl/certs/062cdee6.0,0,3.92,153.5,89.83333333333333,13.5
18,18,/etc/ssl/certs/USERTrust_ECC_Certification_Authority.pem,0,3.04,112.16666666666667,57.833333333333336,10.185714285714285
19,19,/var/lib/dpkg/info/libsasl2-modules-db:amd64.list,478,1.57,37101.833333333336,14572.833333333334,93.9
