image,total_file_count
geonetwork:latest,14764
geonetwork:3.12.3-postgres,20707
xwiki:stable-mariadb-tomcat,21831
plone:latest,41531
plone:5.2.6-python38,41405
mediawiki:latest,36599
mediawiki:stable-fpm-alpine,28913
joomla:php8.1-fpm,18984
joomla:latest,19795
drupal:7.89-php7.4-fpm-bullseye,11349
backdrop:latest,13545
ghost:latest,55689
ghost:alpine,51894
elixir:latest,37207
golang:stretch,27611
golang:latest,27738
telegraf:1.20.4,9695
kapacitor:latest,8136
kapacitor:1.5.9,8136
influxdb:latest,7539
influxdb:1.8.10,7554
haxe:latest,15563
haxe:4.2.4-buster,15831
flink:latest,8572
flink:scala_2.12-java11,8572
orientdb:latest,5612
orientdb:3.2.5-tp3,5663
zookeeper:latest,6812
zookeeper:3.6.3,6748
neo4j:enterprise,5622
neo4j:latest,5562
jruby:latest,11835
jruby:9.3.3.0-jre11,11841
lightstreamer:7.2.2-jdk8-openjdk,14108
lightstreamer:latest,14041
gcc:latest,25019
gcc:9.4.0-buster,26730
r-base:latest,17360
r-base:4.1.2,17268
swipl:stable,7766
rust:buster,25148
rethinkdb:latest,5080
rethinkdb:centos,9029
python:buster,27364
python:latest,25564
odoo:14.0,56577
postgres:latest,8949
postgres:12.10-bullseye,8914
mono:latest,13638
mono:slim,6916
haskell:9.0.2-slim-buster,12741
ruby:buster,27220
pypy:buster,27774
pypy:latest,25968
php:zts-buster,9889
php:latest,10113
perl:5.30.3-threaded-bullseye,24871
perl:latest,24899
node:lts-gallium,27404
node:latest,27876
nginx:stable-perl,6934
nginx:latest,5310
neurodebian:latest,6795
neurodebian:stretch-non-free,6589
mysql:latest,6415
memcached:latest,4350
memcached:alpine3.15,537
julia:bullseye,6575
julia:latest,6575
irssi:latest,8948
irssi:1.2.1-alpine,5330
httpd:latest,4975
httpd:alpine3.15,2815
haproxy:lts-bullseye,4312
haproxy:latest,4312
couchdb:3.1.2,6551
couchdb:latest,6745
chronograf:latest,5056
chronograf:1.8.10,5056
nats:latest,2
nats:alpine3.15,787
docker:git,1085
docker:latest,868
consul:latest,2172
consul:1.9.16,2174
gradle:latest,12491
gradle:jdk8,12226
groovy:latest,6871
groovy:jdk8,6606
registry:latest,793
adminer:fastcgi,1628
adminer:latest,1623
composer:latest,5578
composer:2.3.0-RC1,5564
wordpress:php8.1-fpm-alpine,6917
spiped:alpine,432
tomee:9.0.0-M7-webprofile,6970
mongo:latest,5450
mariadb:latest,7863
mariadb:10.8.2-rc-focal,7796
clearlinux:latest,9238
photon:latest,715
photon:3.0-20220311,911
rabbitmq:management,6370
rabbitmq:latest,5147
nextcloud:stable-fpm-alpine,22247
convertigo:latest,9066
convertigo:7.9.7,16022
hylang:1.0a4-python3.7-alpine3.14,4528
cassandra:latest,7742
cassandra:3.11.12,7786
websphere-liberty:kernel-java11-openj9,6729
redmine:alpine3.15,19914
open-liberty:latest,11846
open-liberty:kernel-slim-java17-openj9,6523
openjdk:latest,4271
fedora:latest,7363
solr:slim,6536
crate:latest,14061
crate:4.6.8,14090
nats-streaming:alpine3.15,786
amazonlinux:latest,7962
jetty:latest,6973
jetty:9.4-jre8,8463
swift:focal,13623
ros:noetic-ros-base-focal,40906
php-zendserver:2019.0,16560
kong:ubuntu,8421
kong:latest,5366
ibmjava:sfj,3179
ibmjava:latest,3414
gazebo:latest,49551
couchbase:enterprise-6.0.5,10715
buildpack-deps:jammy-curl,5232
bonita:7.12.1,4414
bonita:latest,1920
ubuntu:latest,2702
ubuntu:bionic-20220315,2502
redis:alpine3.15,1717
bash:rc-alpine3.15,658
bash:latest,656
arangodb:latest,19384
vault:1.8.9,2002
eggdrop:latest,1621
eggdrop:1.9.1,1619
eclipse-mosquitto:openssl,843
eclipse-mosquitto:latest,852
traefik:v1.7.34-alpine,1986
znc:slim,5689
sonarqube:lts-enterprise,2925
tomcat:8.5.76-jre11-temurin-focal,6842
erlang:25.0-rc1.0.0,37199
aerospike:ce-5.7.0.11,7421
debian:unstable-20220316,6406
maven:3.8.4-eclipse-temurin-8,8632
percona:ps-8.0.26-17,18751
mongo-express:0.54.0,11673
mongo-express:latest,11977
silverpeas:6.2.1,55142
rapidoid:latest,5121
rapidoid:5.4.5,5692
kaazing-gateway:latest,8220
centos:centos7.9.2009,9663
centos:latest,8990
nuxeo:LTS-2017,36623
fsharp:latest,12366
fsharp:10.7.0,12328
teamspeak:3.13.5,1167
rakudo-star:2020.10-alpine,1755
mageia:cauldron,11282
mageia:latest,11218
cirros:latest,603
cirros:0.5.1,603
sl:6,4551
crux:3.2,17646
crux:latest,18053
sentry:onbuild,28111
euleros:2.3.1806,8166
euleros:latest,8218
thrift:0.11.0,6694
known:latest,19528
owncloud:9-fpm,21618
owncloud:latest,23188
piwik:3-fpm,17874
piwik:latest,18660
celery:latest,11267
celery:4,10937
iojs:onbuild,24526
iojs:latest,24526
django:onbuild,24920
django:latest,17970
glassfish:latest,20845
hipache:latest,20736
